| 合う (あう) | 合う | Hợp | gặp, hợp | 友達に合う。(Gặp bạn.) |
| 填める (はめる) | 填める | Điền | lắp vào, đeo (nhẫn) | 指輪を填める。(Đeo nhẫn.) |
| 嵌る (はまる) | 嵌る | Khảm | bị kẹt, nghiện | 罠に嵌る。(Mắc bẫy.) |
| 生やす (はやす) | 生やす | Sinh | nuôi, trồng (râu, tóc) | 髭を生やす。(Nuôi râu.) |
| 流行る (はやる) | 流行る | Lưu hành | thịnh hành, phổ biến | 新しい歌が流行る。(Bài hát mới thịnh hành.) |
| 張る (はる) | 張る | Trương | căng ra, dán | テントを張る。(Dựng lều.) |
| 貼る (はる) | 貼る | Thiếp | dán | 切手を貼る。(Dán tem.) |
| 腫れる (はれる) | 腫れる | Thũng | sưng lên | 足が腫れる。(Chân bị sưng.) |
| 晴れる (はれる) | 晴れる | Tình | nắng, quang đãng | 空が晴れる。(Trời quang đãng.) |
| 引く (ひく) | 引く | Dẫn | kéo, trừ, tra (từ điển) | ドアを引く。(Kéo cửa.) |
| 弾く (ひく) | 弾く | Đàn | chơi (nhạc cụ dây) | ピアノを弾く。(Chơi piano.) |
| 轢く (ひく) | 轢く | Lịch | cán qua (xe) | 猫が車に轢かれた。(Mèo bị xe cán.) |
| 退く (ひく) | 退く | Thoái | rút lui, lui về | 一歩退く。(Lùi một bước.) |
| 浸す (ひたす) | 浸す | Tẩm | nhúng, ngâm | 水に足を浸す。(Nhúng chân vào nước.) |
| 干る (ひる) | 干る | Can | cạn, khô (nước) | 池が干る。(Ao cạn nước.) |
| 秘める (ひめる) | 秘める | Bí | giấu kín, giữ bí mật | 思いを秘める。(Giấu kín tâm tư.) |
| 開く (ひらく) | 開く | Khai | mở (sách, sự kiện) | 本を開く。(Mở sách.) |
| 拾う (ひろう) | 拾う | Thập | nhặt, lượm | ゴミを拾う。(Nhặt rác.) |
| 広がる (ひろがる) | 広がる | Quảng | lan rộng, mở rộng (tự động) | 噂が広がる。(Tin đồn lan rộng.) |
| 広げる (ひろげる) | 広げる | Quảng | mở rộng, trải ra | 地図を広げる。(Trải bản đồ ra.) |
| 広まる (ひろまる) | 広まる | Quảng | được lan truyền rộng rãi | その習慣が広まる。(Tập quán đó được lan truyền rộng rãi.) |
| 広める (ひろめる) | 広める | Quảng | làm cho lan rộng, phổ biến | 知識を広める。(Phổ biến kiến thức.) |
| 増える (ふえる) | 増える | Tăng | tăng lên (tự động) | 人口が増える。(Dân số tăng lên.) |
| 増やす (ふやす) | 増やす | Tăng | làm tăng lên | 貯金を増やす。(Làm tăng tiền tiết kiệm.) |
| 殖える (ふえる) | 殖える | Thực | sinh sôi, nhân lên (tài sản, đtvt) | 財産が殖える。(Tài sản tăng lên.) |
| 殖やす (ふやす) | 殖やす | Thực | làm sinh sôi, nhân lên | 家畜を殖やす。(Nhân giống gia súc.) |
| 更ける (ふける) | 更ける | Canh | về khuya | 夜が更ける。(Đêm về khuya.) |
| 老ける (ふける) | 老ける | Lão | già đi | 急に老ける。(Đột nhiên già đi.) |
| 耽る (ふける) | 耽る | Đam | đắm chìm, mải mê | 読書に耽る。(Mải mê đọc sách.) |
| 噴く (ふく) | 噴く | Phún | phun ra | 火山が噴く。(Núi lửa phun trào.) |
| 吹く (ふく) | 吹く | Xuy | thổi (gió) | 風が吹く。(Gió thổi.) |
| 拭く (ふく) | 拭く | Thức | lau, chùi | 汗を拭く。(Lau mồ hôi.) |
| 含む (ふくむ) | 含む | Hàm | bao gồm, chứa đựng | 税金を含む。(Bao gồm thuế.) |
| 含める (ふくめる) | 含める | Hàm | bao gồm (chủ động) | 送料を含めて千円です。(Bao gồm cả phí gửi là 1000 yên.) |
| 膨らむ (ふくらむ) | 膨らむ | Bành | phồng lên, căng ra | 風船が膨らむ。(Bóng bay phồng lên.) |
| 膨らます (ふくらます) | 膨らます | Bành | làm phồng lên | 頬を膨らます。(Phồng má.) |
| 塞ぐ (ふさぐ) | 塞ぐ | Tắc | bịt lại, chặn lại | 耳を塞ぐ。(Bịt tai lại.) |
| 塞がる (ふさがる) | 塞がる | Tắc | bị bịt kín, bị chiếm | 穴が塞がる。(Lỗ bị bịt kín.) |
| 踏む (ふむ) | 踏む | Đạp | dẫm, đạp | ブレーキを踏む。(Đạp phanh.) |
| 振る (ふる) | 振る | Chấn | vẫy, lắc, rắc | 手を振る。(Vẫy tay.) |
| 震える (ふるえる) | 震える | Chấn | run rẩy | 寒さで震える。(Run vì lạnh.) |
| 触れる (ふれる) | 触れる | Xúc | chạm, tiếp xúc, đề cập | 手で触れる。(Chạm bằng tay.) / 問題に触れる。(Đề cập đến vấn đề.) |
| 経る (へる) | 経る | Kinh | trải qua, thông qua | 数年を経る。(Trải qua vài năm.) |
| 減る (へる) | 減る | Giảm | giảm xuống (tự động) | 体重が減る。(Cân nặng giảm xuống.) |
| 減らす (へらす) | 減らす | Giảm | làm giảm xuống | 費用を減らす。(Làm giảm chi phí.) |
| 凹む (へこむ) | 凹む | Ao | lõm xuống, chán nản | ボールが凹む。(Bóng bị lõm.) |
| 隔たる (へだたる) | 隔たる | Cách | cách biệt, xa cách | 二つの町は川で隔たっている。(Hai thị trấn cách nhau một con sông.) |
| 隔てる (へだてる) | 隔てる | Cách | ngăn cách, chia cách | カーテンで部屋を隔てる。(Ngăn cách phòng bằng rèm cửa.) |
| 放る (ほうる) | 放る | Phóng | ném, bỏ mặc | ボールを放る。(Ném bóng.) |
| 褒める (ほめる) | 褒める | Bao | khen ngợi | 子供を褒める。(Khen ngợi con cái.) |
| 惚れる (ほれる) | 惚れる | Hốt | phải lòng, yêu | あの人に惚れた。(Phải lòng người đó.) |
| 彫る (ほる) | 彫る | Điêu | khắc, chạm | 木に像を彫る。(Khắc tượng trên gỗ.) |
| 掘る (ほる) | 掘る | Quật | đào, bới | 穴を掘る。(Đào hố.) |
| 干す (ほす) | 干す | Can | phơi, làm khô | 洗濯物を干す。(Phơi quần áo.) |
| 欲しがる (ほしがる) | 欲しがる | Dục | muốn, ao ước (ngôi thứ 3) | 子供がおもちゃを欲しがる。(Đứa trẻ muốn đồ chơi.) |
| 解く (ほどく) | 解く | Giải | cởi, tháo | 紐を解く。(Cởi dây.) |
| 解ける (ほどける) | 解ける | Giải | được cởi ra, tuột ra | 靴紐が解ける。(Dây giày bị tuột.) |
| 施す (ほどこす) | 施す | Thi | thực hiện, ban cho | 治療を施す。(Tiến hành trị liệu.) |
| 滅びる (ほろびる) | 滅びる | Diệt | bị diệt vong | 古代文明が滅びる。(Nền văn minh cổ đại bị diệt vong.) |
| 滅ぼす (ほろぼす) | 滅ぼす | Diệt | tiêu diệt | 敵を滅ぼす。(Tiêu diệt kẻ thù.) |
| 巻く (まく) | 巻く | Quyển | cuộn, quấn, rắc (hạt) | 包帯を巻く。(Quấn băng.) |
| 撒く (まく) | 撒く | Tát | rải, gieo | 水を撒く。(Tưới nước.) |
| 蒔く (まく) | 蒔く | Thì | gieo hạt | 畑に種を蒔く。(Gieo hạt trên ruộng.) |
| 負ける (まける) | 負ける | Phụ | thua, giảm giá | 試合に負ける。(Thua trận đấu.) |
| 任せる (まかせる) | 任せる | Nhiệm | giao phó | 仕事を任せる。(Giao phó công việc.) |
| 曲がる (まがる) | 曲がる | Khúc | rẽ, cong (tự động) | 角を曲がる。(Rẽ ở góc đường.) |
| 曲げる (まげる) | 曲げる | Khúc | bẻ cong, uốn cong | 針金を曲げる。(Uốn cong dây kim loại.) |
| 混じる (まじる) | 混じる | Hỗn | lẫn vào, trộn lẫn (tự động) | 白い絵の具に赤が混じる。(Màu đỏ lẫn vào màu vẽ trắng.) |
| 交じる (まじる) | 交じる | Giao | giao nhau, lẫn vào | 男女が交じって座る。(Nam nữ ngồi xen lẫn.) |
| 混ざる (まざる) | 混ざる | Hỗn | được trộn lẫn (tự động) | 色々な物が混ざっている。(Nhiều thứ được trộn lẫn với nhau.) |
| 交ざる (まざる) | 交ざる | Giao | được giao nhau, được trộn lẫn | 学生と社会人が交ざって話す。(Học sinh và người đi làm nói chuyện lẫn nhau.) |
| 混ぜる (まぜる) | 混ぜる | Hỗn | trộn lẫn | 材料を混ぜる。(Trộn nguyên liệu.) |
| 交ぜる (まぜる) | 交ぜる | Giao | trộn lẫn, giao nhau | カードを交ぜる。(Trộn bài.) |
| 増す (ます) | 増す | Tăng | tăng lên, hơn | 人気増す。(Sự yêu thích tăng lên.) |
| 跨る (またがる) | 跨る | Khóa | cưỡi, bắc qua | 馬に跨る。(Cưỡi ngựa.) |
| 待つ (まつ) | 待つ | Đãi | đợi, chờ | 友達を待つ。(Đợi bạn.) |
| 祭る (まつる) | 祭る | Tế | thờ cúng, tổ chức lễ hội | 神を祭る。(Thờ cúng thần linh.) |
| 纏う (まとう) | 纏う | Triền | mặc, khoác, bao phủ | ドレスを纏う。(Mặc váy dạ hội.) |
| 学ぶ (まなぶ) | 学ぶ | Học | học hỏi | 歴史を学ぶ。(Học lịch sử.) |
| 真似る (まねる) | 真似る | Chân tự | bắt chước | 鳥の鳴き声を真似る。(Bắt chước tiếng chim hót.) |
| 守る (まもる) | 守る | Thủ | bảo vệ, tuân theo | 約束を守る。(Giữ lời hứa.) |
| 迷う (まよう) | 迷う | Mê | lạc đường, phân vân | 道に迷う。(Lạc đường.) |
| 回る (まわる) | 回る | Hồi | xoay quanh, đi vòng quanh | 地球が回る。(Trái đất quay.) |
| 回す (まわす) | 回す | Hồi | xoay, vặn, chuyển | ハンドルを回す。(Xoay vô lăng.) |
| 見える (みえる) | 見える | Kiến | có thể nhìn thấy | 山が見える。(Có thể nhìn thấy núi.) |
| 磨く (みがく) | 磨く | Ma | đánh bóng, chải | 靴を磨く。(Đánh giày.) / 歯を磨く。(Đánh răng.) |
| 満ちる (みちる) | 満ちる | Mãn | đầy, tràn đầy | 月が満ちる。(Trăng tròn.) |
| 導く (みちびく) | 導く | Đạo | dẫn dắt, hướng dẫn | 生徒を導く。(Dẫn dắt học sinh.) |
| 満たす (みたす) | 満たす | Mãn | làm đầy, đáp ứng | コップに水を満たす。(Làm đầy nước vào cốc.) |
| 乱す (みだす) | 乱す | Loạn | làm rối loạn | 風紀を乱す。(Làm xáo trộn kỷ cương.) |
| 乱れる (みだれる) | 乱れる | Loạn | bị rối loạn (tự động) | 髪が乱れる。(Tóc bị rối.) |
| 認める (みとめる) | 認める | Nhận | thừa nhận, công nhận | 事実を認める。(Thừa nhận sự thật.) |
| 見る (みる) | 見る | Kiến | nhìn, xem | テレビを見る。(Xem TV.) |
| 診る (みる) | 診る | Chẩn | khám bệnh | 患者を診る。(Khám bệnh cho bệnh nhân.) |
| 観る (みる) | 観る | Quan | xem (phim, kịch) | 映画を観る。(Xem phim.) |
| 視る (みる) | 視る | Thị | nhìn, quan sát (chuyên môn) | 状況を視る。(Quan sát tình hình.) |
| 剥く (むく) | 剥く | Bác | bóc, gọt | りんごを剥く。(Gọt táo.) |
| 向く (むく) | 向く | Hướng | đối mặt, hướng về | 東を向く。(Hướng về phía Đông.) |
| 剥ける (むける) | 剥ける | Bác | bị bong ra | 皮が剥ける。(Da bị bong.) |
| 向ける (むける) | 向ける | Hướng | hướng về phía, dành cho | 顔を窓に向ける。(Hướng mặt về phía cửa sổ.) / 子供向けの番組。(Chương trình dành cho trẻ em.) |
| 結ぶ (むすぶ) | 結ぶ | Kết | buộc, kết nối | 紐を結ぶ。(Buộc dây.) / 契約を結ぶ。(Ký hợp đồng.) |
| 蒸す (むす) | 蒸す | Chưng | hấp | 野菜を蒸す。(Hấp rau.) |
| 召す (めす) | 召す | Triệu | ăn, uống, mặc (kính ngữ) | どうぞお召し上がりください。(Xin mời dùng bữa.) |
| 目指す (めざす) | 目指す | Mục | nhắm đến, hướng tới | 頂上を目指す。(Nhắm đến đỉnh núi.) |
| 目立つ (めだつ) | 目立つ | Mục | nổi bật | 赤い服は目立つ。(Quần áo màu đỏ rất nổi bật.) |
| 巡る (めぐる) | 巡る | Tuần | đi quanh, xoay quanh | 地球は太陽の周りを巡る。(Trái đất quay quanh mặt trời.) |
| 儲かる (もうかる) | 儲かる | Trữ | có lãi | 商売が儲かる。(Buôn bán có lãi.) |
| 儲ける (もうける) | 儲ける | Trữ | kiếm lời | 大金を儲ける。(Kiếm được nhiều tiền.) |
| 燃える (もえる) | 燃える | Nhiên | cháy | 紙が燃える。(Giấy cháy.) |
| 燃やす (もやす) | 燃やす | Nhiên | đốt | ゴミを燃やす。(Đốt rác.) |
| 貰う (もらう) | 貰う | Thế | nhận | プレゼントを貰う。(Nhận quà.) |
| 漏る (もる) | 漏る | Lậu | rò rỉ | 水が漏る。(Nước rò rỉ.) |
| 漏れる (もれる) | 漏れる | Lậu | bị rò rỉ | 情報が漏れる。(Thông tin bị rò rỉ.) |
| 揉む (もむ) | 揉む | Nhu | xoa bóp | 肩を揉む。(Xoa bóp vai.) |
| 戻る (もどる) | 戻る | Lệ | quay lại | 家に戻る。(Quay lại nhà.) |
| 戻す (もどす) | 戻す | Lệ | trả lại, hoàn lại | 本を棚に戻す。(Trả sách lại kệ.) |
| 持つ (もつ) | 持つ | Trì | cầm, mang, sở hữu | 鞄を持つ。(Cầm cặp.) / 車を持つ。(Sở hữu xe hơi.) |
| 凭れる (もたれる) | 凭れる | Bằng | dựa vào, tựa vào | 壁に凭れる。(Dựa vào tường.) |
| 焼く (やく) | 焼く | Thiêu | nướng, đốt | 肉を焼く。(Nướng thịt.) |
| 焼ける (やける) | 焼ける | Thiêu | được nướng, bị cháy | パンが焼ける。(Bánh mì được nướng.) / 日に焼ける。(Bị cháy nắng.) |
| 訳す (やくす) | 訳す | Dịch | dịch | 英語を日本語に訳す。(Dịch tiếng Anh sang tiếng Nhật.) |
| 宿る (やどる) | 宿る | Túc | ở trọ, mang (trong mình) | ホテルに宿る。(Ở trọ khách sạn.) / 命が宿る。(Mang trong mình sinh mệnh.) |
| 雇う (やとう) | 雇う | Cố | thuê, tuyển dụng | 人を雇う。(Thuê người.) |
| 破る (やぶる) | 破る | Phá | làm rách, phá vỡ | 紙を破る。(Làm rách giấy.) / 約束を破る。(Phá vỡ lời hứa.) |
| 破れる (やぶれる) | 破れる | Phá | bị rách | 服が破れる。(Quần áo bị rách.) |
| 病む (やむ) | 病む | Bệnh | bị bệnh | 心を病む。(Tâm bệnh.) |
| 止む (やむ) | 止む | Chỉ | dừng, tạnh | 雨が止む。(Mưa tạnh.) |
| 辞める (やめる) | 辞める | Từ | nghỉ, bỏ | 仕事を辞める。(Nghỉ việc.) |
| 止める (やめる) | 止める | Chỉ | dừng, bỏ | タバコを止める。(Bỏ thuốc lá.) |
| 茹でる (ゆでる) | 茹でる |茹 | luộc | 卵を茹でる。(Luộc trứng.) |
| 許す (ゆるす) | 許す | Hứa | tha thứ, cho phép | 過ちを許す。(Tha thứ lỗi lầm.) / 外出を許す。(Cho phép ra ngoài.) |
| 揺れる (ゆれる) | 揺れる | Dao | rung, lắc | 地震で家が揺れる。(Nhà rung do động đất.) |
| 喜ぶ (よろこぶ) | 喜ぶ | Hỉ | vui mừng | 合格して喜ぶ。(Vui mừng vì thi đỗ.) |
| 寄る (よる) | 寄る | Kí | ghé qua, dựa vào | 店に寄る。(Ghé qua cửa hàng.) / 右に寄る。(Né sang phải.) |
| 因る (よる) | 因る | Nhân | do, bởi | 不注意に因る事故。(Tai nạn do bất cẩn.) |
| 汚す (よごす) | 汚す | Ô | làm bẩn | 服を汚す。(Làm bẩn quần áo.) |
| 汚れる (よごれる) | 汚れる | Ô | bị bẩn | 手が汚れる。(Tay bị bẩn.) |
| 読む (よむ) | 読む | Độc | đọc | 本を読む。(Đọc sách.) |
| 酔う (よう) | 酔う | Túy | say | 酒に酔う。(Say rượu.) |
| 分かる (わかる) | 分かる | Phân | hiểu | 意味が分かる。(Hiểu ý nghĩa.) |
| 別れる (わかれる) | 別れる | Biệt | chia tay | 友達と別れる。(Chia tay bạn bè.) |
| 分かれる (わかれる) | 分かれる | Phân | được chia ra | 道が二つに分かれる。(Con đường chia làm hai.) |
| 沸く (わく) | 沸く | Phí | sôi | お湯が沸く。(Nước sôi.) |
| 湧く (わく) | 湧く | Dũng | trào ra, nảy sinh | 泉が湧く。(Suối trào ra.) / アイデアが湧く。(Ý tưởng nảy sinh.) |
| 沸かす (わかす) | 沸かす | Phí | đun sôi | お湯を沸かす。(Đun nước sôi.) |
| 分ける (わける) | 分ける | Phân | chia | ケーキを分ける。(Chia bánh.) |
| 忘れる (わすれる) | 忘れる | Vong | quên | 約束を忘れる。(Quên lời hứa.) |
| 渡る (わたる) | 渡る | Độ | băng qua | 橋を渡る。(Băng qua cầu.) |
| 渡す (わたす) | 渡す | Độ | trao cho | 手紙を渡す。(Trao thư.) |
| 笑う (わらう) | 笑う | Tiếu | cười | 大声で笑う。(Cười to.) |
| 割る (わる) | 割る | Cát | làm vỡ, chia | 皿を割る。(Làm vỡ đĩa.) / １０を２で割る。(Chia 10 cho 2.) |
| 割れる (われる) | 割れる | Cát | bị vỡ | コップが割れる。(Cốc bị vỡ.) |
| 淡く (あわく) | 淡く | Đạm | nhạt, mờ nhạt | 記憶が淡く。(Ký ức mờ nhạt.) |
| 憐れむ (あわれむ) | 憐れむ | Lân | thương xót | 弱者を憐れむ。(Thương xót người yếu.) |
| 慌る (あわてる) | 慌る | Hoảng | hoảng hốt | 突然の事態に慌る。(Hoảng hốt vì tình huống đột ngột.) |
| 異なる (ことなる) | 異なる | Dị | khác | 意見が異なる。(Ý kiến khác nhau.) |
| 戒める (いましめる) | 戒める | Giới | răn dạy, cảnh báo | 子供を戒める。(Răn dạy con cái.) |
| 凍える (こごえる) | 凍える | Đống | lạnh cóng | 手が凍える。(Tay lạnh cóng.) |
| 凍る (こおる) | 凍る | Đống | đóng băng | 池が凍る。(Hồ đóng băng.) |
| 凝る (こる) | 凝る | Ngưng | cứng, đông | 肩が凝る。(Vai bị cứng.) |
| 懲りる (こりる) | 懲りる | Trừng | bị bài học | 失敗に懲りる。(Rút kinh nghiệm từ thất bại.) |
| 殺す (ころす) | 殺す | Sát | giết | 時間を殺す。(Giết thời gian.) |
| 転ぶ (ころぶ) | 転ぶ | Chuyển | ngã | 雪で転ぶ。(Ngã trên tuyết.) |
| 試みる (こころみる) | 試みる | Thí | thử, nỗ lực | 新しい方法を試みる。(Thử phương pháp mới.) |
| 困る (こまる) | 困る | Khốn | gặp khó khăn | 問題で困る。(Gặp khó khăn với vấn đề.) |
| 壊す (こわす) | 壊す | Hoại | phá hủy | おもちゃを壊す。(Làm hỏng đồ chơi.) |
| 壊れる (こわれる) | 壊れる | Hoại | bị hỏng | 時計が壊れる。(Đồng hồ bị hỏng.) |
| 探す (さがす) | 探す | Tham | tìm kiếm | 鍵を探す。(Tìm chìa khóa.) |
| 下がる (さがる) | 下がる | Hạ | hạ xuống | 価格が下がる。(Giá cả giảm.) |
| 下げる (さげる) | 下げる | Hạ | hạ xuống | 旗を下げる。(Hạ cờ xuống.) |
| 叫ぶ (さけぶ) | 叫ぶ | Khiếu | hét | 大声で叫ぶ。(Hét to.) |
| 裂く (さく) | 裂く | Liệt | xé, chẻ | 布を裂く。(Xé vải.) |
| 咲く (さく) | 咲く | Tiếu | nở (hoa) | 桜が咲く。(Hoa anh đào nở.) |
| 裂ける (さける) | 裂ける | Liệt | rách, nứt | 氷が裂ける。(Băng nứt.) |
| 避ける (さける) | 避ける | Tị | tránh | 危険を避ける。(Tránh nguy hiểm.) |
| 探る (さぐる) | 探る | Tham | dò, thăm dò | 海底を探る。(Thăm dò đáy biển.) |
| 誘う (さそう) | 誘う | Dụ | mời, rủ | 友達を誘う。(Rủ bạn.) |
| 指す (さす) | 指す | Chỉ | chỉ | 方向を指す。(Chỉ hướng.) |
| 差す (さす) | 差す | Sai | đâm, xuyên, che (ô) | 傘を差す。(Che ô.) |
| 刺す (さす) | 刺す | Thích | đâm, chọc | 虫を刺す。(Côn trùng chích.) |
| 挿す (さす) | 挿す | Sáp | cắm vào | 花を瓶に挿す。(Cắm hoa vào bình.) |
| 注す (さす) | 注す | Chú | rót, đổ | 水を注す。(Rót nước.) |
| 鎖す (さす) | 鎖す | Tỏa | khóa | 門を鎖す。(Khóa cổng.) |
| 授ける (さずける) | 授ける | Thụ | ban cho | 知識を授ける。(Ban cho kiến thức.) |
| 錆びる (さびる) | 錆びる | Tỉ | rỉ sét | 鉄が錆びる。(Sắt bị rỉ.) |
| 覚ます (さます) | 覚ます | Giác | đánh thức | 子供を覚ます。(Đánh thức trẻ.) |
| 冷ます (さます) | 冷ます | Lãnh | làm nguội | スープを冷ます。(Làm nguội súp.) |
| 覚める (さめる) | 覚める | Giác | tỉnh dậy | 夢から覚める。(Tỉnh giấc mơ.) |
| 冷める (さめる) | 冷める | Lãnh | nguội đi | 料理が冷める。(Món ăn nguội đi.) |
| 鮮やか (あざやか) | 鮮やか | Tiên | tươi, sắc nét | 鮮やかな色。(Màu sắc tươi sáng.) |
| 嘲る (あざける) | 嘲る | Trào | chế giễu | 人を嘲る。(Chế giễu người khác.) |
| 下がる (さがる) | 下がる | Hạ | hạ xuống | 値段が下がる。(Giá cả giảm.) |
| 下げる (さげる) | 下げる | Hạ | hạ xuống | 旗を下げる。(Hạ cờ.) |
| 錆びつく (さびつく) | 錆びつく | Tỉ | bị rỉ sét | 機械が錆びつく。(Máy bị rỉ.) |
| 作る (つくる) | 作る | Tác | làm | 料理を作る。(Nấu ăn.) |
| 触る (さわる) | 触る | Xúc | chạm | ボタンに触る。(Chạm vào nút.) |
| 触れる (ふれる) | 触れる | Xúc | chạm, đề cập | 問題に触れる。(Đề cập đến vấn đề.) |
| 冴える (さえる) | 冴える | Sái | sáng rõ | 頭が冴える。(Đầu óc sáng suốt.) |
| 囀る (さえずる) | 囀る | Chuyển | hót | 鳥が囀る。(Chim hót.) |
| 強いる (しいる) | 強いる | Cường | ép buộc | 決断を強いる。(Ép buộc quyết định.) |
| 沈む (しずむ) | 沈む | Trầm | chìm | 船が沈む。(Tàu chìm.) |
| 沈める (しずめる) | 沈める | Trầm | nhấn chìm | 船を沈める。(Nhấn chìm tàu.) |
| 凌ぐ (しのぐ) | 凌ぐ | Lăng | vượt qua | 困難を凌ぐ。(Vượt qua khó khăn.) |
| 偲ぶ (しのぶ) | 偲ぶ | Tư | tưởng nhớ | 故人を偲ぶ。(Tưởng nhớ người đã khuất.) |
| 忍ぶ (しのぶ) | 忍ぶ | Nhẫn | chịu đựng | 痛みを忍ぶ。(Chịu đựng đau đớn.) |
| 縛る (しばる) | 縛る | Phược | trói | 犯人を縛る。(Trói tội phạm.) |
| 痺れる (しびれる) | 痺れる | Tê | tê liệt | 足が痺れる。(Chân bị tê.) |
| 搾る (しぼる) | 搾る | Trá | vắt | 雑巾を搾る。(Vắt khăn lau.) |
| 絞る (しぼる) | 絞る | Giảo | thắt | 首を絞る。(Thắt cổ.) |
| 萎びる (しなびる) | 萎びる | Ủy | héo | 花が萎びる。(Hoa héo.) |
| 仕舞う (しまう) | 仕舞う | Sĩ | cất | 道具を仕舞う。(Cất dụng cụ.) |
| 閉まる (しまる) | 閉まる | Bế | đóng lại | ドアが閉まる。(Cửa đóng lại.) |
| 染みる (しみる) | 染みる | Nhiễm | thấm | 水が染みる。(Nước thấm vào.) |
| 閉める (しめる) | 閉める | Bế | đóng | 窓を閉める。(Đóng cửa sổ.) |
| 締める (しめる) | 締める | Đế | thắt chặt | ベルトを締める。(Thắt chặt dây lưng.) |
| 湿る (しめる) | 湿る | Thấp | ẩm ướt | 地面が湿る。(Mặt đất ẩm ướt.) |
| 湿らす (しめらす) | 湿らす | Thấp | làm ẩm | 布を湿らす。(Làm ẩm vải.) |
| 絞る (しぼる) | 絞る | Giảo | thắt, vắt kiệt | 首を絞る。(Thắt cổ.) / 知恵を絞る。(Vắt óc suy nghĩ.) |
| 忍ぶ (しのぶ) | 忍ぶ | Nhẫn | chịu đựng, lén lút | 痛みを忍ぶ。(Chịu đựng đau đớn.) / 人目を忍ぶ。(Lén lút tránh người khác.) |
| 滑る (すべる) | 滑る | Hoạt | trượt | 氷の上を滑る。(Trượt trên băng.) |
| 澄ます (すます) | 澄ます | Trừng | làm trong, lắng nghe | 空気を澄ます。(Làm không khí trong lành.) / 耳を澄ます。(Lắng tai nghe.) |
| 済ます (すます) | 済ます | Tế | kết thúc, hoàn thành | 食事を済ます。(Ăn xong.) |
| 澄む (すむ) | 澄む | Trừng | trở nên trong | 水が澄む。(Nước trở nên trong.) |
| 住む (すむ) | 住む | Trú | sống, ở | 東京に住む。(Sống ở Tokyo.) |
| 済む (すむ) | 済む | Tế | kết thúc, hoàn tất | 仕事が済む。(Công việc hoàn tất.) |
| する | する | (không có Kanji) | làm | 勉強をする。(Học bài.) |
| 座る (すわる) | 座る | Tọa | ngồi | 椅子に座る。(Ngồi ghế.) |
| 剃る (そる) | 剃る | Thế | cạo | ひげを剃る。(Cạo râu.) |
| 注ぐ (そそぐ) | 注ぐ | Chú | rót, đổ | 水を注ぐ。(Rót nước.) |
| 育つ (そだつ) | 育つ | Dục | lớn lên, trưởng thành | 子供が育つ。(Trẻ con lớn lên.) |
| 育てる (そだてる) | 育てる | Dục | nuôi nấng, trồng | 子供を育てる。(Nuôi dạy con cái.) / 野菜を育てる。(Trồng rau.) |
| 備える (そなえる) | 備える | Bị | chuẩn bị, trang bị | 地震に備える。(Chuẩn bị cho động đất.) |
| 染める (そめる) | 染める | Nhiễm | nhuộm | 髪を染める。(Nhuộm tóc.) |
| 絶える (たえる) | 絶える | Tuyệt | dứt, tuyệt chủng | 音が絶える。(Âm thanh dứt.) / 種が絶える。(Giống loài tuyệt chủng.) |
| 耐える (たえる) | 耐える | Nại | chịu đựng | 痛みに耐える。(Chịu đựng đau đớn.) |
| 堪える (こらえる) | 堪える | Kham | chịu đựng, kìm nén | 怒りを堪える。(Kìm nén cơn giận.) |
| 倒す (たおす) | 倒す | Đảo | làm đổ, đánh bại | 敵を倒す。(Đánh bại kẻ địch.) |
| 倒れる (たおれる) | 倒れる | Đảo | đổ, ngã | 木が倒れる。(Cây đổ.) |
| 焚く (たく) | 焚く | Phần | đốt | 薪を焚く。(Đốt củi.) |
| 炊く (たく) | 炊く | Xuy | nấu (cơm) | ご飯を炊く。(Nấu cơm.) |
| 叩く (たたく) | 叩く | Khấu | gõ, đập | ドアを叩く。(Gõ cửa.) |
| 戦う (たたかう) | 戦う | Chiến | chiến đấu | 敵と戦う。(Chiến đấu với kẻ thù.) |
| 闘う (たたかう) | 闘う | Đấu | đấu tranh | 病気と闘う。(Đấu tranh với bệnh tật.) |
| 称える (たたえる) | 称える | Xưng | khen ngợi, ca tụng | 功績を称える。(Khen ngợi công lao.) |
| 畳む (たたむ) | 畳む | Điệp | gấp | 服を畳む。(Gấp quần áo.) |
| 立つ (たつ) | 立つ | Lập | đứng | 椅子に立つ。(Đứng trên ghế.) |
| 建つ (たつ) | 建つ | Kiến | được xây | 家が建つ。(Nhà được xây.) |
| 経つ (たつ) | 経つ | Kinh | trôi qua (thời gian) | 時間が経つ。(Thời gian trôi qua.) |
| 断つ (たつ) | 断つ | Đoạn | cắt đứt | 関係を断つ。(Cắt đứt quan hệ.) |
| 立てる (たてる) | 立てる | Lập | dựng lên | 旗を立てる。(Dựng cờ.) |
| 建てる (たてる) | 建てる | Kiến | xây | 家を建てる。(Xây nhà.) |
| 点てる (たてる) | 点てる | Điểm | pha (trà) | お茶を点てる。(Pha trà.) |
| 楽しむ (たのしむ) | 楽しむ | Lạc | thưởng thức, vui vẻ | 音楽を楽しむ。(Thưởng thức âm nhạc.) |
| 頼む (たのむ) | 頼む | Lại | nhờ | 友達に頼む。(Nhờ bạn.) |
